SignalInfoSetInteger ; 0
SignalSubscribe ; 0
SignalUnsubscribe ; 0
sin ; 145
Sleep ; 202
sqrt ; 0
srand ; 0
StringAdd ; 0
StringBufferLen ; 0
StringCompare ; 0
StringConcatenate ; 63
StringFill ; 0
StringFind ; 49
StringFormat ; 0
StringGetChar ; 12
StringGetCharacter ; 2
StringInit ; 0
StringLen ; 56
StringReplace ; 0
StringSetChar ; 1
StringSetCharacter ; 0
StringSplit ; 2
StringSubstr ; 48
StringToCharArray ; 0
StringToColor ; 0
StringToDouble ; 2
StringToInteger ; 2
StringToLower ; 0
StringToShortArray ; 0
StringToTime ; 0
StringToUpper ; 2
StringTrimLeft ; 7
StringTrimRight ; 10
StrToDouble ; 20
StrToInteger ; 20
StrToTime ; 32
StructToTime ; 0
Symbol ; 645
Symbol ; 645
SymbolInfoDouble ; 2
SymbolInfoInteger ; 1
SymbolInfoSessionQuote ; 0
SymbolInfoSessionTrade ; 0
SymbolInfoString ; 0
SymbolInfoTick ; 1
SymbolName ; 3
SymbolSelect ; 2
SymbolsTotal ; 0
tan ; 152
TerminalClose ; 0
TerminalCompany ; 2
TerminalInfoDouble ; 0
TerminalInfoInteger ; 0
TerminalInfoString ; 0
TerminalName ; 0
TerminalPath ; 1
TesterStatistics ; 0
TextGetSize ; 0
TextOut ; 0
TextSetFont ; 0
TimeCurrent ; 140
TimeDay ; 41
TimeDaylightSavings ; 0
TimeDayOfWeek ; 17
TimeDayOfYear ; 6
TimeGMT ; 1
TimeGMTOffset ; 0
TimeHour ; 76
TimeLocal ; 25
TimeMinute ; 49
TimeMonth ; 12
TimeSeconds ; 11
TimeToStr ; 89
TimeToString ; 2
TimeToStruct ; 0
TimeYear ; 12
UninitializeReason ; 1
WebRequest ; 1
WindowBarsPerChart ; 1
WindowExpertName ; 39
WindowFind ; 4
WindowFirstVisibleBar ; 1
WindowHandle ; 5
WindowIsVisible ; 0
WindowOnDropped ; 2
WindowPriceMax ; 2
WindowPriceMin ; 2
WindowPriceOnDropped ; 0
WindowRedraw ; 7
WindowScreenShot ; 5
WindowsTotal ; 0
WindowTimeOnDropped ; 0
WindowXOnDropped ; 0
WindowYOnDropped ; 0
Year ; 60
ZeroMemory ; 0
